Baseline_1961_1990_60
DOY,MeanTemp_avg,DailyGDD_avg,CumulativeGDD_avg,Rain_mm_avg,MoistureProxy60_avg,MoistureProxy60_min,MoistureProxy60_max
306,9.9,4.9,1754.5,3.8,-1207.5,-1529.0,-807.0
307,9.0,4.1,1758.6,2.8,-1199.9,-1526.6,-827.3
308,8.3,3.4,1762.0,5.7,-1184.6,-1518.7,-820.2
309,8.2,3.3,1765.3,5.9,-1168.2,-1515.1,-820.8
310,8.3,3.4,1768.7,5.0,-1153.6,-1507.2,-803.5
311,8.8,3.9,1772.5,3.7,-1141.7,-1502.7,-799.7
312,8.8,3.9,1776.4,3.1,-1131.3,-1492.4,-794.1
313,8.4,3.5,1779.9,4.8,-1119.5,-1476.5,-780.5
314,8.7,3.8,1783.7,4.7,-1108.0,-1466.4,-758.8
315,8.6,3.7,1787.3,6.3,-1094.9,-1459.5,-734.2
316,7.8,3.0,1790.3,3.5,-1084.8,-1449.6,-709.1
317,7.6,2.8,1793.1,5.2,-1073.2,-1432.1,-694.6
318,7.4,2.6,1795.7,4.0,-1058.7,-1423.9,-689.9
319,7.5,2.7,1798.4,5.4,-1044.0,-1418.6,-678.0
320,7.3,2.4,1800.9,6.6,-1029.6,-1379.3,-672.1
321,7.4,2.6,1803.6,6.5,-1015.2,-1372.3,-662.3
322,7.7,3.0,1806.6,4.7,-1001.8,-1371.6,-649.3
323,7.6,3.0,1809.6,5.0,-989.0,-1369.8,-626.1
324,7.1,2.3,1812.0,4.0,-976.2,-1359.1,-618.7
325,7.1,2.3,1814.3,3.0,-964.7,-1351.1,-623.4
326,7.1,2.5,1816.8,3.2,-953.4,-1342.0,-634.0
327,7.4,2.8,1819.6,4.9,-945.4,-1328.8,-630.6
328,7.3,2.6,1822.2,3.3,-937.3,-1323.5,-627.4
329,7.1,2.4,1824.7,3.5,-928.4,-1316.1,-645.4
330,6.5,2.1,1826.7,3.2,-917.4,-1300.6,-651.3
331,6.6,2.2,1828.8,4.3,-906.3,-1277.8,-662.0
332,6.3,1.9,1830.8,7.7,-893.5,-1254.3,-670.7
333,6.3,1.8,1832.7,7.2,-878.5,-1200.8,-661.7
334,6.5,2.1,1834.8,5.1,-864.7,-1178.2,-662.2
335,6.6,2.3,1837.0,7.4,-849.1,-1161.0,-655.3
