Baseline_1961_1990_60
DOY,MeanTemp_avg,DailyGDD_avg,CumulativeGDD_avg,Rain_mm_avg,MoistureProxy60_avg,MoistureProxy60_min,MoistureProxy60_max
345,5.1,1.5,2048.9,2.1,-811.0,-985.8,-638.6
346,5.1,1.5,2050.4,2.3,-798.9,-972.1,-620.1
347,5.1,1.5,2051.9,3.0,-786.4,-958.5,-604.7
348,5.5,1.7,2053.6,1.9,-775.8,-943.8,-593.2
349,5.6,1.7,2055.3,1.8,-767.6,-934.4,-591.9
350,5.3,1.4,2056.7,1.7,-756.3,-927.1,-583.2
351,4.5,1.4,2058.1,1.2,-744.4,-915.5,-566.0
352,4.7,1.6,2059.6,2.6,-732.7,-901.1,-553.0
353,4.3,1.1,2060.7,2.3,-718.9,-871.6,-534.8
354,4.7,1.2,2061.9,2.5,-706.2,-844.4,-514.9
355,5.5,1.7,2063.7,2.0,-695.9,-838.0,-500.4
356,5.3,1.6,2065.3,1.6,-686.2,-834.4,-492.4
357,5.3,1.9,2067.1,2.3,-674.7,-821.5,-466.6
358,5.4,1.8,2069.0,1.6,-665.7,-821.6,-446.7
359,5.1,1.6,2070.7,2.2,-654.6,-807.4,-426.2
360,4.6,1.3,2072.1,1.2,-643.7,-797.0,-404.4
361,4.3,1.4,2073.5,1.8,-632.2,-795.9,-387.6
362,4.0,1.4,2074.8,1.6,-622.3,-806.7,-372.2
363,4.3,1.6,2076.3,2.5,-612.1,-822.3,-339.0
364,3.8,0.8,2077.2,1.9,-599.9,-825.1,-318.6
365,3.9,1.0,2078.2,2.1,-588.1,-824.3,-315.3
